address,city,state,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"555 E WILLIAM ST 13E","Ann Arbor",MI,42.278063,-83.742251,1,rooftop,555,"E William St 13E",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"1021 ISLAND DRIVE CT","Ann Arbor",MI,42.290335,-83.732435,1,rooftop,1021,"Island Drive Ct",,,"Ann Arbor",MI,"Washtenaw County",48105,US,Semcog
"635 S FIRST ST","Ann Arbor",MI,42.273611,-83.750909,1,range_interpolation,635,"S 1st St",,,"Ann Arbor",MI,"Washtenaw County",48103,US,"TIGER/Line® dataset from the US Census Bureau"
"3025 WHISPERWOOD DR","Ann Arbor",MI,42.317263,-83.703204,1,range_interpolation,3025,"Whisperwood Dr",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"6 PARK VIEW PL","Ann Arbor",MI,42.282492,-83.754245,1,rooftop,6,"Park View Pl",,,"Ann Arbor",MI,"Washtenaw County",48103,US,Semcog
"1500 PAULINE BLVD A","Ann Arbor",MI,42.268485,-83.76546,1,rooftop,1500,"Pauline Blvd",,,"Ann Arbor",MI,"Washtenaw County",48103,US,Semcog
CR19-0124,"Ann Arbor",MI,42.266638,-83.849042,1,place,,,,,"Ann Arbor",MI,"Washtenaw County",48103,US,"TIGER/Line® dataset from the US Census Bureau"
"3000 WASHTENAW AVE","Ann Arbor",MI,42.257225,-83.700136,1,rooftop,3000,"Washtenaw Ave",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Semcog
"2738 HIKONE RD","Ann Arbor",MI,42.242356,-83.714196,1,range_interpolation,2738,"Hikone Dr",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"2345 LESLIE CIR","Ann Arbor",MI,42.309374,-83.713892,1,range_interpolation,2345,"Leslie Cir",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"555 E WILLIAM ST 11F","Ann Arbor",MI,42.278064,-83.74217,1,rooftop,555,"E William St 11F",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"931 E ANN ST","Ann Arbor",MI,42.282566,-83.737013,1,rooftop,931,"E Ann St",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Semcog
"3010 WHISPERWOOD DR","Ann Arbor",MI,42.318601,-83.702214,1,range_interpolation,3010,"Whisperwood Dr",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"1930 W LIBERTY ST","Ann Arbor",MI,42.27656,-83.771816,1,range_interpolation,1930,"W Liberty St",,,"Ann Arbor",MI,"Washtenaw County",48103,US,"TIGER/Line® dataset from the US Census Bureau"
"3069 Williamsburg Dr","Ann Arbor",MI,42.235238,-83.697404,0.6,range_interpolation,3069,"Williamsburg Rd",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"3011 Williamsburg Dr","Ann Arbor",MI,42.234393,-83.695404,0.8,nearest_rooftop_match,3001,"Williamsburg Dr",,,"Ann Arbor",MI,"Washtenaw County",48108,US,Semcog
"555 E WILLIAM ST 5I","Ann Arbor",MI,42.277975,-83.742331,1,rooftop,555,"E William St 5I",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"2467 SANDALWOOD CIR","Ann Arbor",MI,42.30818,-83.708044,1,range_interpolation,2467,"Sandalwood Cir",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"3338 WILLIAMSBURG DR","Ann Arbor",MI,42.236623,-83.696294,0.6,range_interpolation,3338,"Williamsburg Rd",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"612 CHURCH ST","Ann Arbor",MI,42.274511,-83.734858,1,rooftop,612,"Church St",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Semcog
"234 CHAPIN ST","Ann Arbor",MI,42.28313,-83.753229,1,range_interpolation,234,"Chapin St",,,"Ann Arbor",MI,"Washtenaw County",48103,US,"TIGER/Line® dataset from the US Census Bureau"
"1421 WLiberty St","Ann Arbor",MI,42.276269,-83.765302,0.9,rooftop,1421,"W Liberty St",,,"Ann Arbor",MI,"Washtenaw County",48103,US,Semcog
"555 E WILLIAM ST 4C","Ann Arbor",MI,42.278061,-83.742415,1,rooftop,555,"E William St 4C",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"3060 WHISPERWOOD DR","Ann Arbor",MI,42.317465,-83.703256,0.9,range_interpolation,3060,"Whisperwood Dr",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"555 E WILLIAM ST 8B","Ann Arbor",MI,42.27806,-83.742496,1,rooftop,555,"E William St 8B",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"3045 WHISPERWOOD DR","Ann Arbor",MI,42.318154,-83.702996,1,range_interpolation,3045,"Whisperwood Dr",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"555 E WILLIAM ST 20J","Ann Arbor",MI,42.277974,-83.742413,1,rooftop,555,"E William St 20J",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"3009 Williamsburg Dr","Ann Arbor",MI,42.234393,-83.695404,0.8,nearest_rooftop_match,3001,"Williamsburg Dr",,,"Ann Arbor",MI,"Washtenaw County",48108,US,Semcog
"525 LONG SHORE DR B","Ann Arbor",MI,42.292012,-83.741442,1,rooftop,525,"Long Shore Dr A",,,"Ann Arbor",MI,"Washtenaw County",48105,US,Washtenaw
"2274 SHADOWOOD DR","Ann Arbor",MI,42.232025,-83.714381,1,range_interpolation,2274,"Shadowood Dr",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"2755 WINDWOOD DR","Ann Arbor",MI,42.318843,-83.707556,1,range_interpolation,2755,"Windwood Dr",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"1516 PINE VALLEY BLV","Ann Arbor",MI,42.250058,-83.725172,0.82,nearest_rooftop_match,1514,"Pine Valley Blv",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"213 N SEVENTH ST","Ann Arbor",MI,42.283166,-83.759054,1,range_interpolation,213,"N 7th St",,,"Ann Arbor",MI,"Washtenaw County",48103,US,"TIGER/Line® dataset from the US Census Bureau"
"942 N MAIN ST","Ann Arbor",MI,42.29077,-83.746883,1,range_interpolation,942,"N Main St",,,"Ann Arbor",MI,"Washtenaw County",48104,US,"TIGER/Line® dataset from the US Census Bureau"
"2263 Shadowood Dr","Ann Arbor",MI,42.231819,-83.714026,1,range_interpolation,2263,"Shadowood Dr",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"1307 WASHTENAW AVE","Ann Arbor",MI,42.276334,-83.73251,1,rooftop,1307,"Washtenaw Ave",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Semcog
"425 S FIFTH AVE","Ann Arbor",MI,42.277469,-83.746048,1,range_interpolation,425,"S 5th Ave",,,"Ann Arbor",MI,"Washtenaw County",48104,US,"TIGER/Line® dataset from the US Census Bureau"
"2365 LESLIE CIR","Ann Arbor",MI,42.309383,-83.713571,1,range_interpolation,2365,"Leslie Cir",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"2295 SHADOWOOD DR","Ann Arbor",MI,42.231825,-83.714131,1,range_interpolation,2295,"Shadowood Dr",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"915 MAIDEN LN","Ann Arbor",MI,42.289678,-83.737635,1,rooftop,915,"Maiden Ln",,,"Ann Arbor",MI,"Washtenaw County",48105,US,Washtenaw
"1265 JEWETT AV","Ann Arbor",MI,42.25424,-83.731238,1,rooftop,1265,"Jewett Ave",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Semcog
"3030 WHISPERWOOD DR","Ann Arbor",MI,42.318581,-83.70274,1,range_interpolation,3030,"Whisperwood Dr",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"305 EAnn St","Ann Arbor",MI,42.266638,-83.849042,0.33,place,,,,,"Ann Arbor",MI,"Washtenaw County",48103,US,"TIGER/Line® dataset from the US Census Bureau"
"555 E WILLIAM ST 19C","Ann Arbor",MI,42.278061,-83.742415,1,rooftop,555,"E William St 19C",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"220 LYNDEN GLEN DR","Ann Arbor",MI,42.251991,-83.746255,1,range_interpolation,220,"Lynden Glen Dr",,,"Ann Arbor",MI,"Washtenaw County",48103,US,"TIGER/Line® dataset from the US Census Bureau"
"1257 N MAIN ST","Ann Arbor",MI,42.296662,-83.746658,1,range_interpolation,1257,"N Main St",,,"Ann Arbor",MI,"Washtenaw County",48104,US,"TIGER/Line® dataset from the US Census Bureau"
"555 E WILLIAM ST 23H","Ann Arbor",MI,42.277976,-83.74225,1,rooftop,555,"E William St 23H",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"533 539 Long Shore Dr","Ann Arbor",MI,42.292272,-83.741146,1,rooftop,539,"Long Shore Dr",,,"Ann Arbor",MI,"Washtenaw County",48105,US,Washtenaw
"545 LONG SHORE DR A","Ann Arbor",MI,42.291364,-83.740842,1,rooftop,545,"Long Shore Dr A",,,"Ann Arbor",MI,"Washtenaw County",48105,US,Washtenaw
"300 WINDY CREST DR","Ann Arbor",MI,42.277744,-83.692124,1,range_interpolation,300,"Windy Crest Dr",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"735 N MAPLE RD","Ann Arbor",MI,42.287581,-83.780673,1,range_interpolation,735,"N Maple Rd",,,"Ann Arbor",MI,"Washtenaw County",48103,US,"TIGER/Line® dataset from the US Census Bureau"
"2344 Shadowood Dr","Ann Arbor",MI,42.232317,-83.713572,1,range_interpolation,2344,"Shadowood Dr",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"311 E LIBERTY ST","Ann Arbor",MI,42.279652,-83.745936,1,range_interpolation,311,"E Liberty St",,,"Ann Arbor",MI,"Washtenaw County",48104,US,"TIGER/Line® dataset from the US Census Bureau"
"2964 HUNLEY DR","Ann Arbor",MI,42.315019,-83.731292,1,rooftop,2964,"Hunley Dr",,,"Ann Arbor",MI,"Washtenaw County",48105,US,Washtenaw
"208 W HURON ST","Ann Arbor",MI,42.281614,-83.749793,1,range_interpolation,208,"W Huron St",,,"Ann Arbor",MI,"Washtenaw County",48103,US,"TIGER/Line® dataset from the US Census Bureau"
"555 E WILLIAM ST 19H","Ann Arbor",MI,42.277976,-83.74225,1,rooftop,555,"E William St 19H",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"1318 WILMOT ST","Ann Arbor",MI,42.276426,-83.732271,1,rooftop,1318,"Wilmot St",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Semcog
"3003 SEQUOIA PKY","Ann Arbor",MI,42.292814,-83.789312,1,rooftop,3003,"Sequoia Pkwy",,,"Ann Arbor",MI,"Washtenaw County",48103,US,Semcog
"2249 Shadowood Dr","Ann Arbor",MI,42.231817,-83.713979,1,range_interpolation,2249,"Shadowood Dr",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"1000 W HURON ST A","Ann Arbor",MI,42.282016,-83.759928,1,rooftop,1000,"W Huron St",,,"Ann Arbor",MI,"Washtenaw County",48103,US,Semcog
"2401 SANDALWOOD CIR","Ann Arbor",MI,42.305676,-83.7087,1,range_interpolation,2401,"Sandalwood Cir",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"555 E WILLIAM ST 9C","Ann Arbor",MI,42.278061,-83.742415,1,rooftop,555,"E William St 9C",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"3083 PLATT RD","Ann Arbor",MI,42.244505,-83.699937,1,range_interpolation,3083,"Platt Rd",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"555 E WILLIAM ST 5D","Ann Arbor",MI,42.278062,-83.742333,1,rooftop,555,"E William St 5D",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"2395 Jonathan Ct","Ann Arbor",MI,42.230146,-83.710146,1,range_interpolation,2395,"Jonathan Ct",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"2321 SHADOWOOD DR","Ann Arbor",MI,42.232583,-83.713761,1,range_interpolation,2321,"Shadowood Dr",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"2015 MEDFORD RD","Ann Arbor",MI,42.257308,-83.714315,1,range_interpolation,2015,"Medford Rd",,,"Ann Arbor",MI,"Washtenaw County",48104,US,"TIGER/Line® dataset from the US Census Bureau"
"2750 HIKONE RD","Ann Arbor",MI,42.241415,-83.713951,1,range_interpolation,2750,"Hikone Dr",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"1620 CAMBRIDGE RD","Ann Arbor",MI,42.270405,-83.728308,1,range_interpolation,1620,"Cambridge Rd",,,"Ann Arbor",MI,"Washtenaw County",48104,US,"TIGER/Line® dataset from the US Census Bureau"
"150 LAKE VILLAGE DR","Ann Arbor",MI,42.25073,-83.74891,1,range_interpolation,150,"Lake Village Dr",,,"Ann Arbor",MI,"Washtenaw County",48103,US,"TIGER/Line® dataset from the US Census Bureau"
"555 E WILLIAM ST 16F","Ann Arbor",MI,42.278064,-83.74217,1,rooftop,555,"E William St 16F",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"3805 GREEN BRIER BLVD","Ann Arbor",MI,42.298289,-83.687233,1,rooftop,3805,"Greenbrier Blvd",,,"Ann Arbor",MI,"Washtenaw County",48105,US,Semcog
"555 E WILLIAM ST 14G","Ann Arbor",MI,42.277977,-83.742168,1,rooftop,555,"E William St 14G",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"614 SFirst St","Ann Arbor",MI,42.266638,-83.849042,0.33,place,,,,,"Ann Arbor",MI,"Washtenaw County",48103,US,"TIGER/Line® dataset from the US Census Bureau"
"212 E WASHINGTON ST 1","Ann Arbor",MI,42.280445,-83.751148,0.4,range_interpolation,212,"S 1st St",,,"Ann Arbor",MI,"Washtenaw County",48103,US,"TIGER/Line® dataset from the US Census Bureau"
"378 WAY MARKET DR","Ann Arbor",MI,42.242095,-83.755284,1,rooftop,378,"Way Market Dr",,,"Ann Arbor",MI,"Washtenaw County",48103,US,Semcog
"275 LAKE VILLAGE DR","Ann Arbor",MI,42.251209,-83.746425,1,range_interpolation,275,"Lake Village Dr",,,"Ann Arbor",MI,"Washtenaw County",48103,US,"TIGER/Line® dataset from the US Census Bureau"
"3059 Williamsburg Dr","Ann Arbor",MI,42.234393,-83.695404,0.6,nearest_rooftop_match,3001,"Williamsburg Dr",,,"Ann Arbor",MI,"Washtenaw County",48108,US,Semcog
"408 N FIRST ST","Ann Arbor",MI,42.284466,-83.750541,1,rooftop,408,"N 1st St",,,"Ann Arbor",MI,"Washtenaw County",48103,US,Semcog
"3675 GREEN BRIER BLVD","Ann Arbor",MI,42.299356,-83.689264,1,rooftop,3675,"Greenbrier Blvd",,,"Ann Arbor",MI,"Washtenaw County",48105,US,Semcog
"2473 SANDALWOOD CIR","Ann Arbor",MI,42.308196,-83.708114,1,range_interpolation,2473,"Sandalwood Cir",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"2481 SANDALWOOD CIR","Ann Arbor",MI,42.308227,-83.708212,1,range_interpolation,2481,"Sandalwood Cir",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"555 E WILLIAM ST 11G","Ann Arbor",MI,42.277977,-83.742168,1,rooftop,555,"E William St 11G",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"2403 PACKARD ST 35D","Ann Arbor",MI,42.253795,-83.723783,1,rooftop,2403,"Packard St 35D",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"555 E WILLIAM ST 3G","Ann Arbor",MI,42.277977,-83.742168,1,rooftop,555,"E William St 3G",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"2495 SANDALWOOD CIR","Ann Arbor",MI,42.308305,-83.708398,1,range_interpolation,2495,"Sandalwood Cir",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"840 S MAPLE RD","Ann Arbor",MI,42.271713,-83.78013,1,range_interpolation,840,"S Maple Rd",,,"Ann Arbor",MI,"Washtenaw County",48103,US,"TIGER/Line® dataset from the US Census Bureau"
"2795 WINDWOOD DR","Ann Arbor",MI,42.317406,-83.706211,1,range_interpolation,2795,"Windwood Dr",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"555 E WILLIAM ST 17B","Ann Arbor",MI,42.27806,-83.742496,1,rooftop,555,"E William St 17B",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"490 VILLAGE OAKS CT","Ann Arbor",MI,42.253469,-83.755303,1,range_interpolation,490,"Village Oaks Ct",,,"Ann Arbor",MI,"Washtenaw County",48103,US,"TIGER/Line® dataset from the US Census Bureau"
"1348 WILMOT CT","Ann Arbor",MI,42.27632,-83.73104,1,rooftop,1348,"Wilmot Ct",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Semcog
"133 HARBOR WAY","Ann Arbor",MI,42.247702,-83.748506,1,range_interpolation,133,"Harbor Way",,,"Ann Arbor",MI,"Washtenaw County",48103,US,"TIGER/Line® dataset from the US Census Bureau"
"2449 SANDALWOOD CIR","Ann Arbor",MI,42.308161,-83.707781,1,range_interpolation,2449,"Sandalwood Cir",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"442 S FOURTH AV","Ann Arbor",MI,42.27654,-83.747866,1,rooftop,442,"S 4th Ave",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"322 E LIBERTY ST 5","Ann Arbor",MI,42.279207,-83.745182,1,rooftop,322,"E Liberty St 5",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"555 E WILLIAM ST 6H","Ann Arbor",MI,42.277976,-83.74225,1,rooftop,555,"E William St 6H",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"1521 S STATE ST","Ann Arbor",MI,42.262435,-83.740256,1,range_interpolation,1521,"S State St",,,"Ann Arbor",MI,"Washtenaw County",48104,US,"TIGER/Line® dataset from the US Census Bureau"
"626 N MAIN ST","Ann Arbor",MI,42.287169,-83.747617,1,rooftop,626,"N Main St",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Semcog
"1115 NORMAN PL","Ann Arbor",MI,42.267776,-83.769416,1,range_interpolation,1115,"Norman Pl",,,"Ann Arbor",MI,"Washtenaw County",48103,US,"TIGER/Line® dataset from the US Census Bureau"
"2715 WINDWOOD DR","Ann Arbor",MI,42.318542,-83.707551,0.9,range_interpolation,2715,"Windwood Dr",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"320 E LIBERTY ST","Ann Arbor",MI,42.279344,-83.745797,1,range_interpolation,320,"E Liberty St",,,"Ann Arbor",MI,"Washtenaw County",48104,US,"TIGER/Line® dataset from the US Census Bureau"
"2640 ADRIENNE DR","Ann Arbor",MI,42.26852,-83.782166,1,range_interpolation,2640,"Adrienne Dr",,,"Ann Arbor",MI,"Washtenaw County",48103,US,"TIGER/Line® dataset from the US Census Bureau"
"733 N MAPLE RD","Ann Arbor",MI,42.287558,-83.780672,1,range_interpolation,733,"N Maple Rd",,,"Ann Arbor",MI,"Washtenaw County",48103,US,"TIGER/Line® dataset from the US Census Bureau"
"555 E WILLIAM ST 25B","Ann Arbor",MI,42.27806,-83.742496,1,rooftop,555,"E William St 25B",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"1815 FRANKLIN CT N","Ann Arbor",MI,42.29817,-83.779529,1,rooftop,1815,"N Franklin Ct",,,"Ann Arbor",MI,"Washtenaw County",48103,US,Semcog
"309 PACKARD ST","Ann Arbor",MI,42.275623,-83.746127,1,range_interpolation,309,"Packard St",,,"Ann Arbor",MI,"Washtenaw County",48104,US,"TIGER/Line® dataset from the US Census Bureau"
"555 E WILLIAM ST 2H","Ann Arbor",MI,42.277976,-83.74225,1,rooftop,555,"E William St 2H",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"555 E WILLIAM ST 6G","Ann Arbor",MI,42.277977,-83.742168,1,rooftop,555,"E William St 6G",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"645 HIDDEN VALLEY CLUB DR","Ann Arbor",MI,42.247142,-83.740782,1,range_interpolation,645,"Hidden Valley Club Dr",,,"Ann Arbor",MI,"Washtenaw County",48104,US,"TIGER/Line® dataset from the US Census Bureau"
"120 E LIBERTY ST","Ann Arbor",MI,42.279429,-83.748388,1,range_interpolation,120,"E Liberty St",,,"Ann Arbor",MI,"Washtenaw County",48104,US,"TIGER/Line® dataset from the US Census Bureau"
"3053 LAKEHAVEN CT","Ann Arbor",MI,42.286621,-83.698702,1,range_interpolation,3053,"Lakehaven Ct",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"1713 GREEN RD","Ann Arbor",MI,42.298176,-83.692685,1,range_interpolation,1713,"Green Rd",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"725 N MAPLE RD","Ann Arbor",MI,42.287467,-83.780669,1,range_interpolation,725,"N Maple Rd",,,"Ann Arbor",MI,"Washtenaw County",48103,US,"TIGER/Line® dataset from the US Census Bureau"
"1116 1118 Woodlawn Ave","Ann Arbor",MI,42.265295,-83.733482,1,rooftop,1116,"Woodlawn Ave",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"729 N MAPLE RD","Ann Arbor",MI,42.287513,-83.780671,1,range_interpolation,729,"N Maple Rd",,,"Ann Arbor",MI,"Washtenaw County",48103,US,"TIGER/Line® dataset from the US Census Bureau"
"2300 LESLIE CIR","Ann Arbor",MI,42.308839,-83.714705,1,range_interpolation,2300,"Leslie Cir",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"2767 PLYMOUTH RD","Ann Arbor",MI,42.302708,-83.706514,1,range_interpolation,2767,"Plymouth Rd",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"718 N MAIN ST","Ann Arbor",MI,42.287601,-83.747678,1,range_interpolation,718,"N Main St",,,"Ann Arbor",MI,"Washtenaw County",48104,US,"TIGER/Line® dataset from the US Census Bureau"
"2008 TRAVER RD","Ann Arbor",MI,42.302499,-83.725721,1,range_interpolation,2008,"Traver Rd",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"2450 Laurelwood Cir","Ann Arbor",MI,42.232318,-83.712091,1,range_interpolation,2450,"Laurelwood Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"1538 PINE VALLEY BLV","Ann Arbor",MI,42.251246,-83.723565,0.82,nearest_rooftop_match,1540,"Pine Valley Blv",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"2705 WINDWOOD DR","Ann Arbor",MI,42.318546,-83.707634,0.9,range_interpolation,2705,"Windwood Dr",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"1106 NORMAN PL","Ann Arbor",MI,42.267866,-83.769584,1,range_interpolation,1106,"Norman Pl",,,"Ann Arbor",MI,"Washtenaw County",48103,US,"TIGER/Line® dataset from the US Census Bureau"
"2245 Shadowood Dr","Ann Arbor",MI,42.231816,-83.713966,1,range_interpolation,2245,"Shadowood Dr",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"207 SAshley St","Ann Arbor",MI,42.266638,-83.849042,0.33,place,,,,,"Ann Arbor",MI,"Washtenaw County",48103,US,"TIGER/Line® dataset from the US Census Bureau"
"3455 PLATT RD","Ann Arbor",MI,42.239318,-83.699863,1,range_interpolation,3455,"Platt Rd",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"555 E WILLIAM ST 12J","Ann Arbor",MI,42.277974,-83.742413,1,rooftop,555,"E William St 12J",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"1114 MAIDEN LANE CT","Ann Arbor",MI,42.289258,-83.732355,1,rooftop,1114,"Maiden Lane Ct",,,"Ann Arbor",MI,"Washtenaw County",48105,US,Semcog
"1050 WALL ST 1E","Ann Arbor",MI,42.287201,-83.73475,1,rooftop,1050,"Wall St",,,"Ann Arbor",MI,"Washtenaw County",48105,US,Semcog
"3845 GREEN BRIER BLVD","Ann Arbor",MI,42.297708,-83.686839,1,rooftop,3845,"Greenbrier Blvd",,,"Ann Arbor",MI,"Washtenaw County",48105,US,Semcog
"2962 HUNLEY DR","Ann Arbor",MI,42.314958,-83.731286,1,rooftop,2962,"Hunley Dr",,,"Ann Arbor",MI,"Washtenaw County",48105,US,Washtenaw
"2265 Shadowood Dr","Ann Arbor",MI,42.231819,-83.714032,1,range_interpolation,2265,"Shadowood Dr",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"555 E WILLIAM ST 5F","Ann Arbor",MI,42.278064,-83.74217,1,rooftop,555,"E William St 5F",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"555 E WILLIAM ST 8G","Ann Arbor",MI,42.277977,-83.742168,1,rooftop,555,"E William St 8G",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"555 E WILLIAM ST 17C","Ann Arbor",MI,42.278061,-83.742415,1,rooftop,555,"E William St 17C",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
CR072625,"Ann Arbor",MI,42.266638,-83.849042,1,place,,,,,"Ann Arbor",MI,"Washtenaw County",48103,US,"TIGER/Line® dataset from the US Census Bureau"
"555 E WILLIAM ST 5H","Ann Arbor",MI,42.277976,-83.74225,1,rooftop,555,"E William St 5H",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"2409 PACKARD ST 50E","Ann Arbor",MI,42.25355,-83.72412,1,rooftop,2409,"Packard St 50E",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"2884 EEisenhower Pkwy","Ann Arbor",MI,42.244529,-83.723644,1,rooftop,2884,"E Eisenhower Pkwy",,,"Ann Arbor",MI,"Washtenaw County",48108,US,Semcog
"555 E WILLIAM ST 5L","Ann Arbor",MI,42.277972,-83.742576,1,rooftop,555,"E William St 5L",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
