address,city,state,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"1106 MAIDEN LANE CT","Ann Arbor",MI,42.288424,-83.732849,1,rooftop,1106,"Maiden Lane Ct",,,"Ann Arbor",MI,"Washtenaw County",48105,US,Semcog
"2268 Shadowood Dr","Ann Arbor",MI,42.232036,-83.714379,1,range_interpolation,2268,"Shadowood Dr",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"1831 LAKE LILA DR","Ann Arbor",MI,42.299331,-83.717115,1,range_interpolation,1831,"Lake Lila Dr",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"2311 LANCASHIRE DR","Ann Arbor",MI,42.310086,-83.71689,1,range_interpolation,2311,"Lancashire Dr",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"3055 WHISPERWOOD DR","Ann Arbor",MI,42.316473,-83.702844,1,range_interpolation,3055,"Whisperwood Dr",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"1859 SHIRLEY LN","Ann Arbor",MI,42.300957,-83.719379,1,range_interpolation,1859,"Shirley Ln",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"2931 EWhittier Ct","Ann Arbor",MI,42.266638,-83.849042,0.33,place,,,,,"Ann Arbor",MI,"Washtenaw County",48103,US,"TIGER/Line® dataset from the US Census Bureau"
"555 E WILLIAM ST 16A","Ann Arbor",MI,42.278059,-83.742578,1,rooftop,555,"E William St 16A",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"820 S MAPLE RD","Ann Arbor",MI,42.271933,-83.780135,1,range_interpolation,820,"S Maple Rd",,,"Ann Arbor",MI,"Washtenaw County",48103,US,"TIGER/Line® dataset from the US Census Bureau"
"2225 SHADOWWOOD DR","Ann Arbor",MI,42.266638,-83.849042,0.33,place,,,,,"Ann Arbor",MI,"Washtenaw County",48103,US,"TIGER/Line® dataset from the US Census Bureau"
"3010 FERNWOOD AVE","Ann Arbor",MI,42.244413,-83.693974,1,range_interpolation,3010,"Fernwood Ave",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"1721 BROADVIEW LN","Ann Arbor",MI,42.299045,-83.724836,1,range_interpolation,1721,"Broadview Ln",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"163 EDENWOOD DR","Ann Arbor",MI,42.251439,-83.746961,1,range_interpolation,163,Edenwood,,,"Ann Arbor",MI,"Washtenaw County",48103,US,"TIGER/Line® dataset from the US Census Bureau"
"549 LONG SHORE DR A","Ann Arbor",MI,42.291632,-83.740838,1,rooftop,549,"Long Shore Dr",,,"Ann Arbor",MI,"Washtenaw County",48105,US,Semcog
"2492 LAURELWOOD CIR","Ann Arbor",MI,42.233186,-83.711329,1,range_interpolation,2492,"Laurelwood Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"555 E WILLIAM ST 3A","Ann Arbor",MI,42.278059,-83.742578,1,rooftop,555,"E William St 3A",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"555 E WILLIAM ST 12D","Ann Arbor",MI,42.278062,-83.742333,1,rooftop,555,"E William St 12D",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"2393 JONATHAN CT","Ann Arbor",MI,42.230189,-83.710146,1,range_interpolation,2393,"Jonathan Ct",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"3387 WILLIAMSBURG DR","Ann Arbor",MI,42.237331,-83.695958,0.6,range_interpolation,3387,"Williamsburg Rd",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"339 THIRD ST","Ann Arbor",MI,42.278584,-83.753461,1,range_interpolation,339,"3rd St",,,"Ann Arbor",MI,"Washtenaw County",48103,US,"TIGER/Line® dataset from the US Census Bureau"
"555 E WILLIAM ST 18B","Ann Arbor",MI,42.27806,-83.742496,1,rooftop,555,"E William St 18B",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"1731 BROADVIEW LN","Ann Arbor",MI,42.298909,-83.724274,1,range_interpolation,1731,"Broadview Ln",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"316 N STATE ST","Ann Arbor",MI,42.278762,-83.741133,1,rooftop,316,"S State St",,,"Ann Arbor",MI,"Washtenaw County",48103,US,Washtenaw
CR11-0181,"Ann Arbor",MI,42.266638,-83.849042,1,place,,,,,"Ann Arbor",MI,"Washtenaw County",48103,US,"TIGER/Line® dataset from the US Census Bureau"
"2725 BURTON RD","Ann Arbor",MI,42.247305,-83.685223,1,range_interpolation,2725,"Burton Rd",,,"Ann Arbor",MI,"Washtenaw County",48104,US,"TIGER/Line® dataset from the US Census Bureau"
"555 E WILLIAM ST 22L","Ann Arbor",MI,42.278,-83.742401,1,rooftop,555,"E William St",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Semcog
"323 N MAIN ST","Ann Arbor",MI,42.284044,-83.74872,1,rooftop,323,"N Main St",,,"Ann Arbor",MI,"Washtenaw County",48103,US,Semcog
"555 E WILLIAM ST 9G","Ann Arbor",MI,42.277977,-83.742168,1,rooftop,555,"E William St 9G",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"3024 WOLVERINE DR","Ann Arbor",MI,42.236588,-83.699266,1,range_interpolation,3024,"Wolverine Dr",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"1421 NATALIE LN","Ann Arbor",MI,42.293011,-83.683172,1,range_interpolation,1421,"Natalie Ln",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"1825 PAULINE BLVD","Ann Arbor",MI,42.267874,-83.770165,1,range_interpolation,1825,"Pauline Blvd",,,"Ann Arbor",MI,"Washtenaw County",48103,US,"TIGER/Line® dataset from the US Census Bureau"
"3031 N SPURWAY DR","Ann Arbor",MI,42.266638,-83.849042,0.33,place,,,,,"Ann Arbor",MI,"Washtenaw County",48103,US,"TIGER/Line® dataset from the US Census Bureau"
"2357 SANDALWOOD CIR","Ann Arbor",MI,42.30651,-83.710311,1,range_interpolation,2357,"Sandalwood Cir",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
